TEAM,SEED,KADJ O,KADJ D,KADJ EM,BARTHAG,WIN%,EXP,TALENT,ELITE SOS,KADJ T,BADJ T,TOV%,TOV%D,OREB%,DREB%,3PTR,3PT%
St. John's,5,120.068,94.1597,25.9079,0.941,82.35294118,2.3,70.084,31.162,69.5583,69.604,14.7,19.4,35.9,69.8,33.8,33.2
TCU,9,115.379,97.7924,17.5867,0.836,66.66666667,1.807,50.351,33.811,67.6696,67.58,15.5,19.7,34.4,70.8,36.9,33.1
Tennessee,6,121.055,95.0297,26.0249,0.941,66.66666667,1.473,59.748,38.555,64.973,65.225,17.1,16.3,45.1,72.1,31.7,33.4
Tennessee St.,15,109.085,110.911,-1.82605,0.394,68.96551724,2.506,3.291,8.742,70.1975,70.137,16.5,20.0,34.9,70.1,30.7,33.7
Texas,11,124.97,105.937,19.0333,0.854,54.83870968,2.238,55.968,37.671,66.8781,67.099,15.3,13.4,35.7,73.1,36.2,34.9
Texas A&M,10,119.69,101.022,18.6679,0.873,65.625,2.497,29.541,32.472,70.4548,71.016,14.6,18.3,32.3,67.5,46.3,36.2
Texas Tech,5,125.05,99.8259,25.2243,0.944,68.75,1.601,41.675,40.139,66.185,66.408,15.9,14.7,33.3,69.9,48.0,39.3
Troy,13,110.717,108.997,1.72038,0.544,64.51612903,1.897,0.2,11.323,64.8776,65.084,17.0,16.9,34.8,68.4,45.6,33.2
UCF,10,120.452,105.413,15.0386,0.812,65.625,2.429,42.096,33.921,69.2088,69.116,15.7,15.8,34.4,71.5,34.4,36.2
UCLA,7,123.728,102.061,21.667,0.911,67.64705882,2.244,70.281,36.27,64.6449,64.688,13.4,18.1,31.1,67.6,35.9,38.2
UMBC,16,108.224,109.89,-1.66619,0.456,73.33333333,2.082,7.798,7.273,66.188,66.007,14.1,15.2,25.1,74.4,38.8,35.9
Utah St.,9,122.132,101.374,20.7574,0.895,81.81818182,2.185,26.458,23.033,67.6962,67.554,15.4,20.6,33.1,67.8,40.7,35.1
Vanderbilt,5,126.805,99.2995,27.5051,0.946,76.47058824,2.308,35.964,37.121,68.8493,68.982,13.3,17.9,31.2,68.4,43.6,35.5
VCU,11,119.872,102.666,17.2061,0.843,79.41176471,1.703,21.117,19.63,68.5071,68.681,15.2,17.2,32.3,70.1,43.8,36.7
Villanova,8,120.369,100.4,19.9691,0.881,75.0,1.548,63.75,30.123,65.1979,64.946,15.1,18.7,32.4,68.3,45.7,35.3
Virginia,3,122.516,95.8064,26.7098,0.943,85.29411765,1.724,53.814,30.582,65.7342,65.578,16.0,15.6,37.9,70.8,46.5,35.9
Wisconsin,5,125.348,101.954,23.3936,0.929,70.58823529,1.871,38.623,38.176,68.7128,68.694,12.8,14.4,29.4,71.8,52.6,36.1
Wright St.,14,112.057,110.013,2.04414,0.587,65.625,1.245,0.2,9.832,67.1597,66.977,16.3,16.5,33.2,70.8,33.7,36.1
